N,h,L2_Error,L2_Order,H1_Error,H1_Order,cpuTime_MatAss(s),cpuTime_solvMat(s)
9,0.125,0.0295643244016453,NaN,0.748055548299215,NaN,0.00863670833333333,0.000140541666666667
19,0.0555555555555556,0.00758063169520847,1.96346733076623,0.375055020359554,0.996043150496236,0.00859720833333333,0.00227366666666667
39,0.0263157894736842,0.00190171998528346,1.99501323813422,0.187506977977536,1.00015796790598,0.027576375,0.01848975
79,0.0128205128205128,0.000476496534217506,1.9967672093825,0.0938003424071829,0.999279191522784,0.111019291666667,0.511494916666667
159,0.00632911392405063,0.000119084210785097,2.0004835798843,0.0468913406489917,1.00027166205375,0.488362875,39.2978581666667
